Classifier,Train Accuracy (CV),Total Training Time (s)
MultinomialNB,0.9181004812378166,4.752651691436768
LogisticRegression,0.9531950536062379,5.123455762863159
RandomForestClassifier,0.9418844420077972,11.392551183700562
DecisionTreeClassifier,0.9141972770467837,7.560051441192627
GradientBoostingClassifier,0.9364278752436647,77.9986219406128
AdaBoostClassifier,0.9430547941033138,39.38122344017029
SVC,0.9570982577972711,15.454902410507202
KNeighborsClassifier,0.88299448708577,3.6567485332489014
SGDClassifier,0.9578787463450291,3.0623717308044434
MLPClassifier,0.9512487816764132,1435.5944640636444
